"","country","year","homicide_rate","gini_coef","top_10_income_share","top_1_income_share","top_01_income_share","palma_ratio"
"1","Afghanistan",2009,4.0715265,NA,NA,NA,NA,NA
"2","Afghanistan",2010,3.4870927,NA,NA,NA,NA,NA
"3","Afghanistan",2011,4.208668,NA,NA,NA,NA,NA
"4","Afghanistan",2012,6.393913,0.49265584,38.760002,13.82,4.54,3.0304925
"5","Afghanistan",2015,9.975262,NA,NA,NA,NA,NA
"6","Afghanistan",2016,6.6924186,NA,NA,NA,NA,NA
"7","Afghanistan",2017,6.8006945,0.5153931,41.010002,15.080001,5.02,3.4175
"8","Albania",1996,8.314658,0.4676299,32.57,8.14,2.04,2.7885275
"9","Albania",2002,6.9152064,0.48169813,33.64,8.63,2.21,3.0471015
"10","Albania",2005,5.078094,0.4614351,31.7,8.04,2.04,2.681895
"11","Albania",2008,3.1507385,0.46148676,31.810001,8.14,2.08,2.6798651
"12","Albania",2012,5.4284067,0.46326974,32.16,8.5199995,2.26,2.730051
"13","Albania",2015,2.22031,0.47355145,32.82,8.81,2.3600001,2.9147425
"14","Albania",2016,2.7420435,0.4872213,33.92,8.98,2.38,3.28364
"15","Albania",2017,2.01434,0.48394704,33.539997,8.76,2.29,3.1761363
"16","Albania",2018,2.294046,0.47719038,32.89,8.38,2.14,3.025759
"17","Algeria",2006,0.93315166,0.5067968,39.559998,10.52,2.49,3.3696764
"18","Algeria",2007,0.79743814,0.5030401,39.27,10.400001,2.45,3.2944632
"19","Algeria",2008,0.94881076,0.49928063,38.97,10.28,2.41,3.223325
"20","Algeria",2009,0.78702044,0.49551836,38.670002,10.15,2.3700001,3.1515892
"21","Algeria",2010,0.7083823,0.49175334,38.38,10.03,2.33,3.082731
"22","Algeria",2011,0.76620924,0.48798555,38.08,9.91,2.29,3.0174327
"23","Algeria",2012,1.4036288,NA,NA,NA,NA,NA
"24","Algeria",2013,1.2631371,NA,NA,NA,NA,NA
"25","Algeria",2014,1.4886416,NA,NA,NA,NA,NA
"26","Algeria",2015,1.38077,NA,NA,NA,NA,NA
"27","Algeria",2016,1.343602,NA,NA,NA,NA,NA
"28","Algeria",2017,1.2738065,NA,NA,NA,NA,NA
"29","Andorra",2004,1.2998239,NA,34.32,10.88,3.83,2.8743718
"30","Andorra",2007,0,NA,35.15,11.509999,4.1499996,2.8530843
"31","Andorra",2008,1.3148379,NA,33.17,10.1,3.5100002,2.5753105
"32","Andorra",2009,0,NA,32.38,9.28,2.96,2.45489
"33","Andorra",2010,0,NA,34.09,10.27,3.5100002,2.7648013
"34","Andorra",2011,1.4170829,NA,34.07,10.28,3.54,2.790336
"35","Andorra",2012,0,NA,33.92,10.07,3.42,2.7848933
"36","Andorra",2013,0,NA,33.85,10.14,3.4899998,2.813799
"37","Andorra",2014,0,NA,34.38,10.55,3.72,2.8915055
"38","Andorra",2015,0,NA,34.3,10.47,3.6699998,2.8775167
"39","Andorra",2020,2.5740025,NA,33.48,9.91,3.39,2.6978242
"40","Angola",2011,4.3488812,NA,NA,NA,NA,NA
"41","Angola",2012,4.8316097,NA,NA,NA,NA,NA
"42","Angola",2015,4.4582353,NA,NA,NA,NA,NA
"43","Angola",2016,4.102248,NA,NA,NA,NA,NA
"44","Anguilla",1990,0,NA,55.9,22.58,8.71,12.505593
"45","Anguilla",1991,11.60564,NA,55.800003,22.57,8.72,12.427617
"46","Anguilla",1992,0,NA,55.699997,22.550001,8.7300005,12.350332
"47","Anguilla",1993,10.963109,NA,55.6,22.54,8.74,12.27373
"48","Anguilla",1994,0,NA,55.5,22.53,8.74,12.224669
"49","Anguilla",1995,10.416124,NA,55.4,22.52,8.75,12.122539
"50","Anguilla",1996,0,NA,55.309998,22.51,8.76,12.076419
"51","Anguilla",1997,9.870207,NA,55.21,22.5,8.77,12.002174
"52","Anguilla",1998,0,NA,55.12,22.490002,8.780001,11.930736
"53","Anguilla",1999,0,NA,55.03,22.480001,8.780001,11.859914
"54","Anguilla",2000,9.051822,NA,54.94,22.470001,8.79,11.815054
"55","Anguilla",2001,0,NA,54.77,22.310001,8.67,11.702991
"56","Anguilla",2002,17.30029,NA,54.6,22.16,8.56,11.641791
"57","Anguilla",2003,17.029972,NA,54.45,22.02,8.45,11.536017
"58","Anguilla",2004,8.37942,NA,54.3,21.89,8.349999,11.455696
"59","Anguilla",2005,0,NA,54.16,21.76,8.25,11.378151
"60","Anguilla",2006,40.56795,NA,54.030003,21.64,8.16,11.327044
"61","Anguilla",2007,31.937403,NA,53.899998,21.529999,8.070001,11.252609
"62","Anguilla",2008,7.855151,NA,53.780003,21.42,7.99,11.204166
"63","Anguilla",2009,7.724394,NA,53.66,21.31,7.91,11.109731
"64","Anguilla",2010,0,NA,53.55,21.21,7.83,11.06405
"65","Anguilla",2011,0,NA,53.030003,21.199999,7.88,10.198077
"66","Anguilla",2012,37.160908,NA,52.52,21.199999,7.9300003,9.446043
"67","Anguilla",2013,7.29927,NA,52,21.199999,7.98,8.798646
"68","Anguilla",2014,28.327608,NA,51.5,21.199999,8.04,8.2137165
"69","Antigua and Barbuda",1990,1.5790803,NA,55.9,22.58,8.71,12.505593
"70","Antigua and Barbuda",1991,4.714461,NA,55.800003,22.57,8.72,12.427617
"71","Antigua and Barbuda",1992,3.0931501,NA,55.699997,22.550001,8.7300005,12.350332
"72","Antigua and Barbuda",1993,6.075934,NA,55.6,22.54,8.74,12.27373
"73","Antigua and Barbuda",1994,7.4546757,NA,55.5,22.53,8.74,12.224669
"74","Antigua and Barbuda",1995,10.234218,NA,55.4,22.52,8.75,12.122539
"75","Antigua and Barbuda",1996,4.2981176,NA,55.309998,22.51,8.76,12.076419
"76","Antigua and Barbuda",1997,1.4041493,NA,55.21,22.5,8.77,12.002174
"77","Antigua and Barbuda",2000,6.6617813,NA,54.94,22.470001,8.79,11.815054
"78","Antigua and Barbuda",2001,9.184544,NA,54.77,22.310001,8.67,11.702991
"79","Antigua and Barbuda",2002,6.477103,NA,54.6,22.16,8.56,11.641791
"80","Antigua and Barbuda",2003,6.4041395,NA,54.45,22.02,8.45,11.536017
"81","Antigua and Barbuda",2004,5.0670753,NA,54.3,21.89,8.349999,11.455696
"82","Antigua and Barbuda",2005,3.7561507,NA,54.16,21.76,8.25,11.378151
"83","Antigua and Barbuda",2006,13.59779,NA,54.030003,21.64,8.16,11.327044
"84","Antigua and Barbuda",2007,20.727789,NA,53.899998,21.529999,8.070001,11.252609
"85","Antigua and Barbuda",2008,19.218988,NA,53.780003,21.42,7.99,11.204166
"86","Antigua and Barbuda",2009,18.927408,NA,53.66,21.31,7.91,11.109731
"87","Antigua and Barbuda",2010,7.0015755,NA,53.55,21.21,7.83,11.06405
"88","Antigua and Barbuda",2012,11.40589,NA,52.52,21.199999,7.9300003,9.446043
"89","Antigua and Barbuda",2017,21.94932,NA,49.99,21.189999,8.190001,6.8385773
"90","Antigua and Barbuda",2018,13.09679,NA,49.5,21.18,8.24,6.462141
"91","Antigua and Barbuda",2019,3.2567456,NA,49.01,21.18,8.29,6.12625
"92","Antigua and Barbuda",2020,9.71251,NA,48.52,21.18,8.34,5.82473
"93","Antigua and Barbuda",2021,17.163792,NA,48.52,21.18,8.34,5.82473
"94","Argentina",2001,8.348343,0.6641654,50.980003,14.34,2.93,14.565714
"95","Argentina",2002,9.423247,0.66941476,51.98,15.41,3.6699998,14.683616
"96","Argentina",2003,7.7511554,0.6228522,48.46,15.74,4.05,8.049834
"97","Argentina",2004,6.046219,0.60630447,46.64,13.68,2.8899999,6.9404764
"98","Argentina",2005,5.6257277,0.5963225,45,11.7,2.24,6.4194007
"99","Argentina",2006,5.347438,0.5830435,43.81,10.5,2.08,5.872654
"100","Argentina",2007,5.364114,0.5923612,45.76,14.45,4.91,6.0131407
"101","Argentina",2008,5.8872066,0.5917881,45.92,14.54,4.4700003,5.8422394
"102","Argentina",2009,6.4938993,0.57333356,42.699997,11.92,2.44,5.446429
"103","Argentina",2010,5.8004694,0.5753116,43.98,11.92,2.75,5.3051867
"104","Argentina",2011,6.0475802,0.5595389,42.44,11.57,2.7,4.822727
"105","Argentina",2012,6.3119206,0.54103357,39.37,8.47,1.4399999,4.3027325
